
subscriber_type,duration_min
Customer,3.13
Customer,3.13
Customer,3.13
Customer,3.13
Customer,3.13
Customer,3.13
Customer,3.13
Customer,3.13
Customer,3.13
Customer,3.13
Customer,3.13
Customer,3.13
Customer,3.13
Customer,3.13
Customer,3.13
Customer,3.13
Customer,3.15
Customer,3.15
Customer,3.15
Customer,3.15
Customer,3.15
Customer,3.15
Customer,3.15
Customer,3.15
Customer,3.15
Customer,3.15
Customer,3.15
Customer,3.15
Customer,3.15
Customer,3.15
Customer,3.15
Customer,3.15
Customer,3.15
Customer,3.15
Customer,3.15
Customer,3.15
Customer,3.15
Customer,3.17
Customer,3.17
Customer,3.17
Customer,3.17
Customer,3.17
Customer,3.17
Customer,3.17
Customer,3.17
Customer,3.17
Customer,3.17
Customer,3.17
Customer,3.17
Customer,3.17
Customer,3.17
Customer,3.18
Customer,3.18
Customer,3.18
Customer,3.18
Customer,3.18
Customer,3.18
Customer,3.18
Customer,3.18
Customer,3.18
Customer,3.18
Customer,3.18
Customer,3.18
Customer,3.18
Customer,3.18
Customer,3.18
Customer,3.18
Customer,3.18
Customer,3.18
Customer,3.2
Customer,3.2
Customer,3.2
Customer,3.2
Customer,3.2
Customer,3.2
Customer,3.2
Customer,3.2
Customer,3.2
Customer,3.2
Customer,3.2
Customer,3.2
Customer,3.2
Customer,3.2
Customer,3.2
Customer,3.2
Customer,3.2
Customer,3.2
Customer,3.2
Customer,3.2
Customer,3.2
Customer,3.2
Customer,3.2
Customer,3.2
Customer,3.22
Customer,3.22
Customer,3.22
Customer,3.22
Customer,3.22
Customer,3.22
Customer,3.22
Customer,3.22
Customer,3.22
Customer,3.22
Customer,3.22
Customer,3.22
Customer,3.22
Customer,3.22
Customer,3.22
Customer,3.22
Customer,3.22
Customer,3.22
Customer,3.22
Customer,3.22
Customer,3.22
Customer,3.22
Customer,3.23
Customer,3.23
Customer,3.23
Customer,3.23
Customer,3.23
Customer,3.23
Customer,3.23
Customer,3.23
Customer,3.23
Customer,3.23
Customer,3.23
Customer,3.23
Customer,3.23
Customer,3.23
Customer,3.23
Customer,3.23
Customer,3.23
Customer,3.23
Customer,3.23
Customer,3.23
Customer,3.23
Customer,3.23
Customer,3.23
Customer,3.23
Customer,3.23
Customer,3.23
Customer,3.25
Customer,3.25
Customer,3.25
Customer,3.25
Customer,3.25
Customer,3.25
Customer,3.25
Customer,3.25
Customer,3.25
Customer,3.25
Customer,3.25
Customer,3.25
Customer,3.25
Customer,3.25
Customer,3.25
Customer,3.25
Customer,3.25
Customer,3.25
Customer,3.25
Customer,3.25
Customer,3.25
Customer,3.25
Customer,3.25
Customer,3.27
Customer,3.27
Customer,3.27
Customer,3.27
Customer,3.27
Customer,3.27
Customer,3.27
Customer,3.27
Customer,3.27
Customer,3.27
Customer,3.27
Customer,3.27
Customer,3.27
Customer,3.27
Customer,3.27
Customer,3.27
Customer,3.27
Customer,3.27
Customer,3.27
Customer,3.27
Customer,3.27
Customer,3.27
Customer,3.27
Customer,3.27
Customer,3.27
Customer,3.28
Customer,3.28
Customer,3.28
Customer,3.28
Customer,3.28
Customer,3.28
Customer,3.28
Customer,3.28
Customer,3.28
Customer,3.28
Customer,3.28
Customer,3.28
Customer,3.28
Customer,3.28
Customer,3.28
Customer,3.28
Customer,3.28
Customer,3.28
Customer,3.3
Customer,3.3
Customer,3.3
Customer,3.3
Customer,3.3
Customer,3.3
Customer,3.3
Customer,3.3
Customer,3.3
Customer,3.3
Customer,3.3
Customer,3.3
Customer,3.3
Customer,3.3
Customer,3.3
Customer,3.3
Customer,3.3
Customer,3.32
Customer,3.32
Customer,3.32
Customer,3.32
Customer,3.32
Customer,3.32
Customer,3.32
Customer,3.32
Customer,3.32
Customer,3.32
Customer,3.32
Customer,3.32
Customer,3.32
Customer,3.32
Customer,3.32
Customer,3.32
Customer,3.32
Customer,3.32
Customer,3.32
Customer,3.32
Customer,3.32
Customer,3.32
Customer,3.32
Customer,3.32
Customer,3.32
Customer,3.33
Customer,3.33
Customer,3.33
Customer,3.33
Customer,3.33
Customer,3.33
Customer,3.33
Customer,3.33
Customer,3.33
Customer,3.33
Customer,3.33
Customer,3.33
Customer,3.33
Customer,3.33
Customer,3.33
Customer,3.33
Customer,3.33
Customer,3.33
Customer,3.33
Customer,3.33
Customer,3.33
Customer,3.33
Customer,3.33
Customer,3.33
Customer,3.33
Customer,3.33
Customer,3.35
Customer,3.35
Customer,3.35
Customer,3.35
Customer,3.35
Customer,3.35
Customer,3.35
Customer,3.35
Customer,3.35
Customer,3.35
Customer,3.35
Customer,3.35
Customer,3.35
Customer,3.35
Customer,3.35
Customer,3.35
Customer,3.35
Customer,3.35
Customer,3.35
Customer,3.35
Customer,3.37
Customer,3.37
Customer,3.37
Customer,3.37
Customer,3.37
Customer,3.37
Customer,3.37
Customer,3.37
Customer,3.37
Customer,3.37
Customer,3.37
Customer,3.37
Customer,3.37
Customer,3.37
Customer,3.37
Customer,3.37
Customer,3.37
Customer,3.37
Customer,3.37
Customer,3.37
Customer,3.37
Customer,3.37
Customer,3.37
Customer,3.37
Customer,3.38
Customer,3.38
Customer,3.38
Customer,3.38
Customer,3.38
Customer,3.38
